Anno;Quartiere;NIL;Uomini;Donne;Totale;Minori;Stranieri;Famiglie registrate in anagrafe;Famiglie unipersonali registrate in anagrafe;80 e più soli fam registrate in anagrafe;Nati vivi;Nati fuori dal matrimonio;Nati con almeno un genitore straniero;Morti;Emigrati;Immigrati;80 e più;65 e più;Prima cittadinanza;residenti prima cittadinanza;Seconda cittadinanza;residenti seconda cittadinanza;Terza cittadinanza;residenti terza cittadinanza;Scuola dell'infanzia (numero);Scuola primaria (numero);Scuola secondaria di primo grado (numero);Area (metri quadrati)
2011;Guastalla;4;6962;8195;15157;2270;1995;8286;4485;572;121;28;24;123;351;604;1130;3596;Filippine;405;Sri Lanka (ex Ceylon);323;Perù;121;6;7;9;1548020,74
2011;Isola;11;10649;11509;22158;3103;4005;12689;7368;826;190;79;59;175;594;994;1474;4671;Egitto;564;Filippine;560;Cinese, Repubblica Popolare;553;3;2;2;1322966,34
2011;Lambrate - Ortica;23;4986;5213;10199;1710;1987;5500;2820;287;101;30;43;127;282;447;655;1966;Filippine;395;Egitto;315;Perù;158;4;4;2;3096861,87
2011;Lodi - Corvetto;35;17029;18360;35389;4925;7963;19838;10711;1497;280;93;140;472;892;1778;2969;8971;Egitto;1321;Filippine;1302;Perù;703;9;7;4;3639092,52
2011;Lorenteggio;53;6108;7102;13210;2013;1688;6554;2840;678;87;25;22;189;262;368;1397;3880;Egitto;364;Filippine;187;Ecuador;139;5;4;3;2635327,1
2011;Loreto - Casoretto - NoLo;20;21737;20888;42625;5946;13816;25187;15589;1278;405;152;209;328;1255;2705;2342;7726;Egitto;2588;Filippine;2556;Cinese, Repubblica Popolare;1280;8;5;3;1747565,53
2011;Maciachini - Maggiolina;12;12224;13677;25901;3668;4901;14016;7452;1137;233;86;87;283;567;1004;2059;6158;Filippine;953;Cinese, Repubblica Popolare;696;Egitto;487;9;3;2;1674980,95
2011;Magenta - S.Vittore;7;8127;9554;17681;3084;2191;9278;4765;656;144;49;32;164;418;615;1220;3839;Filippine;374;Francia;298;Sri Lanka (ex Ceylon);280;7;6;4;1390146,88
2011;Maggiore - Musocco - Certosa;72;2363;2537;4900;749;704;2520;1143;153;59;15;19;49;450;142;293;1237;Perù;101;Ecuador;86;Egitto;78;2;2;1;3030188,71
2011;Moncucco - San Cristoforo;45;6248;6785;13033;1926;2250;7066;3742;356;121;37;39;102;363;501;764;2911;Egitto;483;Filippine;287;Perù;195;5;1;1;1596174,14
2011;Monlue' - Ponte Lambro;31;2502;2364;4866;983;1690;2349;1118;77;60;22;37;30;172;260;137;679;Egitto;291;Ecuador;199;Perù;171;1;1;0;2639289,21
2011;Morivione;37;3611;4050;7661;1269;1151;4163;2009;194;68;21;14;112;200;286;543;1627;Filippine;207;Egitto;166;Sri Lanka (ex Ceylon);130;2;1;1;817976,68
2011;Muggiano;54;1446;1470;2916;724;170;1243;453;30;49;14;8;12;57;102;54;300;Egitto;28;Ecuador;26;Romania;18;1;1;0;444218,42
2011;N.D.;;0;0;0;0;0;0;0;0;58;30;40;0;0;0;0;0;;0;;0;;0;0;0;0;0
2011;Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi;14;17117;19283;36400;5156;4313;18686;8508;1533;289;109;84;398;844;969;3050;10195;Egitto;592;Perù;436;Filippine;347;10;6;4;4251281,95
2011;Ortomercato;29;2008;2008;4016;554;1314;2312;1363;186;30;11;20;50;91;210;325;954;Egitto;326;Filippine;207;Romania;126;1;1;0;1402519,65
2011;Padova - Turro - Crescenzago;19;17342;17969;35311;4891;10683;19817;11069;1372;335;132;191;324;1009;1873;2583;8117;Filippine;2323;Egitto;1786;Perù;1009;5;4;3;2061945,5
2011;Pagano;68;7912;9203;17115;3155;1836;8582;4049;671;119;38;26;157;354;553;1298;3934;Filippine;331;Francia;173;Sri Lanka (ex Ceylon);164;2;2;2;1289734,29
2011;Parco Bosco in citta';88;384;255;639;145;347;357;134;9;11;4;4;2;218;87;15;58;Serbia, Repubblica di;84;Macedonia, Repubblica di;64;Eritrea;34;0;0;0;7837668,61
2011;Parco dei Navigli;86;157;136;293;58;44;151;63;8;2;1;1;0;14;27;11;29;Romania;12;Bulgaria;11;Marocco;4;0;0;0;3617836,27
2011;Parco delle Abbazie;85;246;199;445;120;210;208;116;3;10;6;6;1;17;22;6;35;Romania;77;Serbia, Repubblica di;56;Bosnia-Erzegovina;38;0;0;0;13722000
2011;Parco Forlanini - Cavriano;24;504;433;937;139;268;557;341;24;15;3;6;4;50;74;38;127;Egitto;44;Romania;42;Marocco;33;0;0;0;2925814,52
2011;Parco Nord;84;75;67;142;23;41;76;41;2;2;1;1;2;1;6;2;14;Cinese, Repubblica Popolare;6;Sri Lanka (ex Ceylon);6;Albania;4;1;1;0;1533639,39
2011;Parco Sempione;8;3;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;0;470434,33
2011;Porta Garibaldi - Porta Nuova;9;2510;2772;5282;722;724;3075;1758;201;43;11;11;44;196;234;347;1087;Perù;91;Cinese, Repubblica Popolare;71;Filippine;56;1;0;0;785668,25
2011;Porta Genova;50;6851;8268;15119;2300;1354;8146;4330;647;117;41;23;134;351;443;1142;3693;Filippine;208;Perù;101;Sri Lanka (ex Ceylon);101;4;2;0;996786,39
2011;Porta Magenta;51;11845;14696;26541;4309;2859;14006;7173;1150;240;69;51;292;561;858;2173;6508;Filippine;552;Francia;223;Perù;212;4;3;3;1306450,76
2011;Porta Ticinese - Conca del Naviglio;6;9351;10669;20020;2677;2463;11808;7182;667;144;51;36;189;599;844;1236;4249;Filippine;363;Egitto;290;Sri Lanka (ex Ceylon);170;8;3;2;1255064,75
2011;Porta Ticinese - Conchetta;44;7902;8935;16837;2328;2378;9959;6083;614;188;68;48;149;493;782;1058;3425;Filippine;304;Egitto;264;Perù;203;4;1;0;1483927,87
2011;Porta Vigentina - Porta Lodovica;5;6400;7323;13723;2184;1643;7299;3775;537;93;22;11;131;352;507;1093;3341;Filippine;197;Sri Lanka (ex Ceylon);175;Egitto;155;4;3;2;1135239,32
2011;Portello;67;3570;4118;7688;1054;739;4116;2040;417;69;25;12;75;153;213;777;2168;Filippine;122;Perù;105;Ucraina;49;3;3;0;909636,6
2011;Pta Romana;27;7808;8811;16619;2331;1967;9524;5573;601;163;50;27;141;448;716;1059;3484;Filippine;386;Sri Lanka (ex Ceylon);138;Egitto;120;1;2;1;1002793,53
2011;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;65;15505;17470;32975;4361;2467;15920;5904;1157;204;75;41;389;686;618;2842;11489;Perù;297;Filippine;250;Romania;235;6;6;3;3894538,21
2011;QT 8;66;1841;2249;4090;599;406;2078;976;240;28;8;5;42;70;91;479;1124;Filippine;62;Sri Lanka (ex Ceylon);44;Perù;37;3;2;1;1024437,42
2011;Quarto Cagnino;61;4644;4907;9551;1408;822;4447;1702;219;66;34;16;80;168;240;517;2443;Egitto;155;Perù;95;Cinese, Repubblica Popolare;80;3;1;1;986391,48
2011;Quarto Oggiaro - Vialba - Musocco;76;15343;16582;31925;5293;6419;15075;6151;1020;244;106;116;363;765;838;2385;7316;Cinese, Repubblica Popolare;1394;Egitto;898;Filippine;559;7;5;3;2778263,75
2011;Quinto Romano;62;2432;2536;4968;701;422;2322;895;110;34;15;10;34;116;95;220;1086;Egitto;62;Filippine;49;Perù;46;1;1;0;1645859,77
2011;Quintosole;39;504;172;676;73;117;504;94;6;8;2;4;7;71;82;9;78;Albania;28;Egitto;22;Romania;17;0;0;0;1057528,77
