Id_NIL;NIL;Titolo di studio;Valori
6;Ticinese  ;Licenza di scuola media inferiore o di avviamento professionale;3097
7;Magenta - S. Vittore  ;Licenza di scuola media inferiore o di avviamento professionale;2289
9;Garibaldi Repubblica  ;Licenza di scuola media inferiore o di avviamento professionale;1002
10;Centrale  ;Licenza di scuola media inferiore o di avviamento professionale;3015
11;Isola  ;Licenza di scuola media inferiore o di avviamento professionale;4393
12;Maciachini - Maggiolina  ;Licenza di scuola media inferiore o di avviamento professionale;5508
13;Greco  ;Licenza di scuola media inferiore o di avviamento professionale;3239
14;Niguarda - Ca Granda ;Licenza di scuola media inferiore o di avviamento professionale;10295
15;Bicocca  ;Licenza di scuola media inferiore o di avviamento professionale;1299
16;Viale Monza  ;Licenza di scuola media inferiore o di avviamento professionale;6545
17;Adriano  ;Licenza di scuola media inferiore o di avviamento professionale;3426
18;Parco Lambro - Cimiano  ;Licenza di scuola media inferiore o di avviamento professionale;4451
19;Padova  ;Licenza di scuola media inferiore o di avviamento professionale;8479
20;Loreto  ;Licenza di scuola media inferiore o di avviamento professionale;9067
21;Buenos Aires - Venezia  ;Licenza di scuola media inferiore o di avviamento professionale;9413
22;Citt_tudi  ;Licenza di scuola media inferiore o di avviamento professionale;6861
23;Lambrate  ;Licenza di scuola media inferiore o di avviamento professionale;2250
24;Parco Forlanini - Ortica  ;Licenza di scuola media inferiore o di avviamento professionale;162
25;Corsica  ;Licenza di scuola media inferiore o di avviamento professionale;3497
26;XXII Marzo  ;Licenza di scuola media inferiore o di avviamento professionale;5318
27;Porta Romana  ;Licenza di scuola media inferiore o di avviamento professionale;2753
28;Umbria - Molise  ;Licenza di scuola media inferiore o di avviamento professionale;4865
29;Ortomercato  ;Licenza di scuola media inferiore o di avviamento professionale;1053
30;Mecenate  ;Licenza di scuola media inferiore o di avviamento professionale;4886
31;Parco Monluè Ponte Lambro  ;Licenza di scuola media inferiore o di avviamento professionale;1332
32;Triulzo Superiore  ;Licenza di scuola media inferiore o di avviamento professionale;375
33;Rogoredo  ;Licenza di scuola media inferiore o di avviamento professionale;1840
34;Chiaravalle  ;Licenza di scuola media inferiore o di avviamento professionale;299
35;Lodi - Corvetto  ;Licenza di scuola media inferiore o di avviamento professionale;8930
36;Scalo Romana  ;Licenza di scuola media inferiore o di avviamento professionale;2670
37;Ex OM - Morivione  ;Licenza di scuola media inferiore o di avviamento professionale;1478
38;Ripamonti  ;Licenza di scuola media inferiore o di avviamento professionale;2769
39;Quintosole  ;Licenza di scuola media inferiore o di avviamento professionale;365
40;Ronchetto delle Rane  ;Licenza di scuola media inferiore o di avviamento professionale;198
41;Gratosoglio - Ticinello  ;Licenza di scuola media inferiore o di avviamento professionale;5447
42;Stadera  ;Licenza di scuola media inferiore o di avviamento professionale;7112
43;Tibaldi  ;Licenza di scuola media inferiore o di avviamento professionale;2583
44;Navigli  ;Licenza di scuola media inferiore o di avviamento professionale;3114
45;S. Cristoforo  ;Licenza di scuola media inferiore o di avviamento professionale;3081
46;Barona  ;Licenza di scuola media inferiore o di avviamento professionale;5322
47;Cantalupa  ;Licenza di scuola media inferiore o di avviamento professionale;105
48;Ronchetto sul Naviglio  ;Licenza di scuola media inferiore o di avviamento professionale;3707
49;Giambellino  ;Licenza di scuola media inferiore o di avviamento professionale;7437
50;Tortona  ;Licenza di scuola media inferiore o di avviamento professionale;2257
51;Washington  ;Licenza di scuola media inferiore o di avviamento professionale;3726
52;Bande Nere  ;Licenza di scuola media inferiore o di avviamento professionale;9121
53;Lorenteggio  ;Licenza di scuola media inferiore o di avviamento professionale;3356
54;Muggiano  ;Licenza di scuola media inferiore o di avviamento professionale;712
55;Baggio  ;Licenza di scuola media inferiore o di avviamento professionale;8666
56;Forze Armate  ;Licenza di scuola media inferiore o di avviamento professionale;6592
57;Selinunte  ;Licenza di scuola media inferiore o di avviamento professionale;6197
58;De Angeli - Monte Rosa  ;Licenza di scuola media inferiore o di avviamento professionale;2943
59;Tre Torri  ;Licenza di scuola media inferiore o di avviamento professionale;196
60;S. Siro  ;Licenza di scuola media inferiore o di avviamento professionale;2321
61;Quarto Cagnino  ;Licenza di scuola media inferiore o di avviamento professionale;2459
62;Quinto Romano  ;Licenza di scuola media inferiore o di avviamento professionale;1419
63;Figino  ;Licenza di scuola media inferiore o di avviamento professionale;462
64;Trenno  ;Licenza di scuola media inferiore o di avviamento professionale;1032
65;Gallaratese  ;Licenza di scuola media inferiore o di avviamento professionale;9575
66;QT 8;Licenza di scuola media inferiore o di avviamento professionale;655
67;Portello  ;Licenza di scuola media inferiore o di avviamento professionale;1259
68;Pagano  ;Licenza di scuola media inferiore o di avviamento professionale;2097
69;Sarpi  ;Licenza di scuola media inferiore o di avviamento professionale;5205
70;Ghisolfa  ;Licenza di scuola media inferiore o di avviamento professionale;3315
71;Villapizzone  ;Licenza di scuola media inferiore o di avviamento professionale;10076
72;Maggiore - Musocco  ;Licenza di scuola media inferiore o di avviamento professionale;1228
73;Cascina Triulza - Expo  ;Licenza di scuola media inferiore o di avviamento professionale;125
74;Sacco  ;Licenza di scuola media inferiore o di avviamento professionale;44
75;Stephenson  ;Licenza di scuola media inferiore o di avviamento professionale;17
76;Quarto Oggiaro  ;Licenza di scuola media inferiore o di avviamento professionale;9885
77;Bovisa  ;Licenza di scuola media inferiore o di avviamento professionale;3018
78;Farini  ;Licenza di scuola media inferiore o di avviamento professionale;816
79;Dergano  ;Licenza di scuola media inferiore o di avviamento professionale;5210
80;Affori  ;Licenza di scuola media inferiore o di avviamento professionale;5730
81;Bovisasca  ;Licenza di scuola media inferiore o di avviamento professionale;1956
82;Comasina  ;Licenza di scuola media inferiore o di avviamento professionale;2896
83;Bruzzano  ;Licenza di scuola media inferiore o di avviamento professionale;3164
84;Parco Nord  ;Licenza di scuola media inferiore o di avviamento professionale;19
85;Parco delle Abbazie  ;Licenza di scuola media inferiore o di avviamento professionale;84
86;Parco dei Navigli  ;Licenza di scuola media inferiore o di avviamento professionale;73
87;Parco Agricolo Sud  ;Licenza di scuola media inferiore o di avviamento professionale;58
88;Parco Bosco in Citta'  ;Licenza di scuola media inferiore o di avviamento professionale;170
1;Duomo  ;Diploma di scuola secondaria superiore;3980
2;Brera  ;Diploma di scuola secondaria superiore;4758
3;Giardini Porta Venezia  ;Diploma di scuola secondaria superiore;32
4;Guastalla  ;Diploma di scuola secondaria superiore;3850
5;Vigentina  ;Diploma di scuola secondaria superiore;3506
6;Ticinese  ;Diploma di scuola secondaria superiore;5310
7;Magenta - S. Vittore  ;Diploma di scuola secondaria superiore;4479
9;Garibaldi Repubblica  ;Diploma di scuola secondaria superiore;1592
10;Centrale  ;Diploma di scuola secondaria superiore;4857
11;Isola  ;Diploma di scuola secondaria superiore;6061
12;Maciachini - Maggiolina  ;Diploma di scuola secondaria superiore;7745
13;Greco  ;Diploma di scuola secondaria superiore;4738
14;Niguarda - Ca Granda ;Diploma di scuola secondaria superiore;10656
15;Bicocca  ;Diploma di scuola secondaria superiore;2008
16;Viale Monza  ;Diploma di scuola secondaria superiore;8460
17;Adriano  ;Diploma di scuola secondaria superiore;4232
18;Parco Lambro - Cimiano  ;Diploma di scuola secondaria superiore;6061
19;Padova  ;Diploma di scuola secondaria superiore;9930
20;Loreto  ;Diploma di scuola secondaria superiore;11646
21;Buenos Aires - Venezia  ;Diploma di scuola secondaria superiore;17053
22;Citt_tudi  ;Diploma di scuola secondaria superiore;10577
23;Lambrate  ;Diploma di scuola secondaria superiore;3023
24;Parco Forlanini - Ortica  ;Diploma di scuola secondaria superiore;259
25;Corsica  ;Diploma di scuola secondaria superiore;5996
26;XXII Marzo  ;Diploma di scuola secondaria superiore;8656
27;Porta Romana  ;Diploma di scuola secondaria superiore;4412
28;Umbria - Molise  ;Diploma di scuola secondaria superiore;6405
29;Ortomercato  ;Diploma di scuola secondaria superiore;1019
30;Mecenate  ;Diploma di scuola secondaria superiore;5437
